Frame,UnityTime,StopwatchTime,TrialID,Event,Code
24931,418.6319,418.123252,60,TrialOn,1
24996,419.7156,419.20691,60,SampleOn,2
25025,420.1989,419.690272,60,SampleOff,3
25060,420.7823,420.273677,60,DistractorOn,4
25090,421.2824,420.773749,60,DistractorOff,5
25215,423.3667,422.858024,60,TargetOn,6
25221,423.4663,422.957614,60,Choice,7
25316,425.0492,424.540561,61,TrialOn,1
25380,426.1163,425.607619,61,SampleOn,2
25410,426.6162,426.107566,61,SampleOff,3
25446,427.2163,426.707658,61,DistractorOn,4
25475,427.6998,427.191132,61,DistractorOff,5
25600,429.7836,429.274917,61,TargetOn,6
25605,429.8669,429.358208,61,Choice,7
25699,431.433,430.924366,62,TrialOn,1
25763,432.5011,431.992432,62,SampleOn,2
25792,432.9841,432.475458,62,SampleOff,3
25827,433.5669,433.058243,62,DistractorOn,4
25856,434.0506,433.541906,62,DistractorOff,5
25981,436.134,435.625341,62,TargetOn,6
25987,436.2343,435.725589,62,Choice,7
26082,437.817,437.308338,63,TrialOn,1
26146,438.8843,438.375631,63,SampleOn,2
26176,439.3843,438.875634,63,SampleOff,3
26211,439.9675,439.45881,63,DistractorOn,4
26241,440.4676,439.958903,63,DistractorOff,5
26366,442.5515,442.042886,63,TargetOn,6
26371,442.6349,442.126303,63,Choice,7
26466,444.2177,443.709041,64,TrialOn,1
26530,445.2849,444.776219,64,SampleOn,2
26560,445.785,445.276319,64,SampleOff,3
26596,446.3854,445.87675,64,DistractorOn,4
26626,446.885,446.376396,64,DistractorOff,5
26751,448.9688,448.460203,64,TargetOn,6
26756,449.0522,448.543591,64,Choice,7
26850,450.6183,450.109683,65,TrialOn,1
26914,451.6857,451.177029,65,SampleOn,2
26943,452.1687,451.660051,65,SampleOff,3
26978,452.7525,452.243845,65,DistractorOn,4
27007,453.2356,452.726914,65,DistractorOff,5
27132,455.3194,454.810762,65,TargetOn,6
27137,455.4027,454.894059,65,Choice,7
27231,456.969,456.460325,66,TrialOn,1
27295,458.0362,457.527523,66,SampleOn,2
27324,458.5195,458.010887,66,SampleOff,3
27359,459.104,458.595364,66,DistractorOn,4
27388,459.5865,459.07787,66,DistractorOff,5
27513,461.6699,461.161266,66,TargetOn,6
27519,461.7698,461.261179,66,Choice,7
27613,463.3364,462.827747,67,TrialOn,1
27677,464.4037,463.894988,67,SampleOn,2
27707,464.904,464.395336,67,SampleOff,3
27742,465.487,464.978363,67,DistractorOn,4
27771,465.9709,465.462211,67,DistractorOff,5
27896,468.0542,467.545585,67,TargetOn,6
27902,468.1537,467.645094,67,Choice,7
27996,469.7203,469.211644,68,TrialOn,1
28060,470.7878,470.2792,68,SampleOn,2
28089,471.271,470.762355,68,SampleOff,3
28124,471.8545,471.345841,68,DistractorOn,4
28153,472.3377,471.829093,68,DistractorOff,5
28278,474.4212,473.912594,68,TargetOn,6
28283,474.5045,473.995842,68,Choice,7
28377,476.0709,475.562253,69,TrialOn,1
28441,477.1385,476.6298,69,SampleOn,2
28470,477.6214,477.112787,69,SampleOff,3
28505,478.2055,477.696866,69,DistractorOn,4
28535,478.7057,478.197005,69,DistractorOff,5
28660,480.7886,480.279925,69,TargetOn,6
28666,480.8885,480.379861,69,Choice,7
28760,482.4548,481.946174,70,TrialOn,1
28824,483.5224,483.013757,70,SampleOn,2
28854,484.0224,483.513701,70,SampleOff,3
28889,484.6059,484.097282,70,DistractorOn,4
28919,485.106,484.597351,70,DistractorOff,5
29044,487.1889,486.680252,70,TargetOn,6
29049,487.2725,486.763824,70,Choice,7
29144,488.8557,488.347007,71,TrialOn,1
29208,489.9233,489.414611,71,SampleOn,2
29237,490.4059,489.897267,71,SampleOff,3
29273,491.0063,490.497612,71,DistractorOn,4
29303,491.5061,490.997485,71,DistractorOff,5
29428,493.5895,493.080838,71,TargetOn,6
29433,493.6732,493.164499,71,Choice,7
29527,495.2395,494.730866,72,TrialOn,1
29591,496.3078,495.799119,72,SampleOn,2
29621,496.8071,496.29844,72,SampleOff,3
29656,497.3901,496.881468,72,DistractorOn,4
29686,497.8901,497.381456,72,DistractorOff,5
29811,499.9743,499.465673,72,TargetOn,6
29817,500.0739,499.565276,72,Choice,7
29911,501.6403,501.131609,73,TrialOn,1
29975,502.7074,502.198706,73,SampleOn,2
30005,503.2074,502.698748,73,SampleOff,3
30040,503.7914,503.282683,73,DistractorOn,4
30069,504.2743,503.765594,73,DistractorOff,5
30194,506.358,505.849304,73,TargetOn,6
30200,506.4583,505.949659,73,Choice,7
30294,508.0243,507.515608,74,TrialOn,1
30358,509.0916,508.582931,74,SampleOn,2
30388,509.5914,509.082747,74,SampleOff,3
30423,510.1748,509.666184,74,DistractorOn,4
30452,510.6581,510.1494,74,DistractorOff,5
30577,512.7418,512.233118,74,TargetOn,6
30582,512.8251,512.316399,74,Choice,7
30676,514.3915,513.882874,75,TrialOn,1
30740,515.4588,514.950156,75,SampleOn,2
30770,515.9587,515.450108,75,SampleOff,3
30806,516.5587,516.050026,75,DistractorOn,4
30836,517.0588,516.550142,75,DistractorOff,5
30962,519.1591,518.650439,75,TargetOn,6
30968,519.2589,518.75028,75,Choice,7
31062,520.8254,520.316781,76,TrialOn,1
31126,521.8926,521.383942,76,SampleOn,2
31155,522.3759,521.867264,76,SampleOff,3
31190,522.9594,522.450721,76,DistractorOn,4
31219,523.4427,522.934109,76,DistractorOff,5
31344,525.5274,525.018735,76,TargetOn,6
31350,525.6265,525.117886,76,Choice,7
31444,527.1927,526.684081,77,TrialOn,1
31508,528.2601,527.751467,77,SampleOn,2
31537,528.7435,528.234832,77,SampleOff,3
31572,529.3267,528.81807,77,DistractorOn,4
31601,529.8101,529.301479,77,DistractorOff,5
31726,531.8946,531.385969,77,TargetOn,6
31732,531.994,531.485347,77,Choice,7
31826,533.5601,533.051413,78,TrialOn,1
31890,534.6271,534.118483,78,SampleOn,2
31919,535.1109,534.602263,78,SampleOff,3
31954,535.6952,535.186567,78,DistractorOn,4
31984,536.1945,535.685798,78,DistractorOff,5
32109,538.2776,537.768912,78,TargetOn,6
32114,538.3613,537.852612,78,Choice,7
